,icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
8098,a0696c,N12557,STEARMAN,Boeing,A75N1(PT17),ST75,75-2625,,L1P,,,,,Collins Roger D,,,2028-06-30,,1941-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
8099,3c650d,D-AIHM,AIRBUS,Airbus,Airbus A340 642,A346,762,,L4J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
8100,79a00b,B-2350,AIRBUS,Airbus,A320 232,A320,712,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,False,False,False,,
8101,a62964,N49645,STEARMAN,Boeing,A75N1(PT17),ST75,75-4503,,L1P,,,,,Wilson Archie Clark,,,2030-01-31,,1943-01-01,,,LYCOMING R680E SERIES,False,False,False,,
8102,a48bdc,N392SW,BOEING,Boeing,737 3H4/W,B733,27379,,L2J,,SOUTHWEST,SWA,,Southwest Airlines,,,,,,,,,False,False,False,,
8103,a8c1d5,N66306,,Boeing,E75N1,,75-8103,,,,,,,Swede Aviation Llc,,,2030-02-28,,,,,P&W R-985 SERIES,False,False,False,,
8104,ad2c16,N948NK,AIRBUS,Airbus,A320-271N,A20N,10744,,L2J,,,,,Wilmington Trust Co Trustee,,,2028-12-31,,2021-01-01,,,IAE PW1127G-JM,False,False,False,,
8105,ac3173,N885LS,BOEING,Boeing,737-7EL,B737,32775,,L2J,,,,,Las Vegas Sands Corp,,,2029-08-31,,2001-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
8106,76ce2a,9V-SQJ,BOEING,Boeing,777 212ER,B772,30875,,L2J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,False,False,False,,
8107,780dd4,B-1793,BOEING,Boeing,737NG 86J/W,B738,36122,,L2J,,HAINAN,CHH,,Hainan Airlines,,,,,,,,,False,False,False,,
8108,3991e4,F-HEPE,AIRBUS,Airbus,A320 214,A320,4298,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,False,False,False,,
8109,a9352a,N69249,STEARMAN,Boeing,B75N1,ST75,75-6665,,L1P,,,,,Sokolowski Daniel,,,2028-07-31,,,,,P&W R-985 SERIES,False,False,False,,
8110,ae57ca,169005,BOEING,Boeing,P-8A Poseidon,P8,44946,,L2J,,,,,United States Navy,,,,,,,,,False,False,False,,Reserved
8111,a7d6a8,N604FR,AIRBUS,Airbus,A321-271NX,A21N,11086,,L2J,,,,,Bank Of Utah Trustee,,,2029-12-31,,,,,,False,False,False,,
8112,3c720a,D-ALPJ,AIRBUS,Airbus,Airbus A330 223,A332,911,,L2J,,AIR BERLIN,BER,,Air Berlin,,,,,,,,,False,False,False,,
8113,7811e0,B-8681,AIRBUS,Airbus,A320 271NSL,A20N,7842,,L2J,,SI CHUAN,CSC,,Sichuan Airlines,,,,,,,,,False,False,False,,
8114,79802c,B-6019,AIRBUS,Airbus,A319 132,A319,1986,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,False,False,False,,
8115,4ba952,TC-JJR,BOEING,Boeing,777 3F2ER,B77W,44116,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
8116,a61e97,N4937N,STEARMAN,Boeing,A75N1(PT17),ST75,75-8609,,L1P,,,,,Brice Kevin A,,,2029-01-31,,1943-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
